1,2,3,4;4,5,6
20,21,22;45,46,47
7,8,9;8,9,10,11,12
84,85,86,87,88,89,90;80,81,82,83,84,85,86,87,88,89,90,91,92
77,78,79,80,81,82,83,84,85,86,87,88,89,90;64,65,66,67,68,69,70,71,72
87,88,89,90,91,92,93,94,95;64,65,66,67,68,69,70,71,72,73,74,75
98,99,100,101,102,103,104,105,106,107,108,109;61,62,63,64,65,66,67
50,51,52,53,54,55,56,57,58,59,60,61,62;78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
63,64,65,66,67,68,69,70,71,72;64,65,66,67,68,69,70,71,72
97,98,99,100,101,102;92,93,94,95,96,97,98,99,100,101,102
63,64,65,66,67,68,69,70,71,72,73,74;96,97,98,99,100,101,102,103,104,105
99,100,101,102,103,104,105;92,93,94,95,96,97,98
81,82,83,84,85,86,87,88,89,90,91;99,100,101,102,103,104
9,10,11;33,34,35
93,94,95,96,97;55,56,57,58,59
52,53,54,55,56,57,58,59,60,61,62;53,54,55,56,57,58
63,64,65,66,67,68,69,70,71,72,73,74,75,76;55,56,57,58,59,60,61,62,63,64,65,66,67
73,74,75,76,77,78,79;77,78,79,80,81,82,83,84,85
88,89,90,91,92;68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
20,25,36,45,89;25,36,77,88,98
1,2,3,4;3,4,5,6
67,68,69,70,71,72,73,74;74,75,76,77,78,79,80,81
9,10,11;11,12,13
